var1,var2,type,relationship,test,effect,effect_name,p_value,n,notes,adjusted_p,significant
age,fnlwgt,num_num,monotonic,spearmanr,-0.0781293408520493,rho,3.3595202228165667e-32,22792,,4.632065761762236e-32,True
age,education_num,num_num,linear,pearsonr,0.0413476757023496,r,4.2490053072969214e-10,22792,,4.894423834987593e-10,True
age,capital_gain,num_num,monotonic,spearmanr,0.1224599126540263,rho,7.204571801829049e-77,22792,,1.3112320679328868e-76,True
age,capital_loss,num_num,monotonic,spearmanr,0.059122923222713,rho,4.141441712893085e-19,22792,,5.234322164906538e-19,True
age,hours_per_week,num_num,monotonic,spearmanr,0.1430899462602022,rho,1.5481122486098816e-104,22792,,3.276237549383703e-104,True
fnlwgt,education_num,num_num,monotonic,spearmanr,-0.0333982078327286,rho,4.576564982629413e-07,22792,,5.017679679750321e-07,True
fnlwgt,capital_gain,num_num,monotonic,spearmanr,-0.0031907561550563,rho,0.6300305235490125,22792,,0.6300305235490125,False
fnlwgt,capital_loss,num_num,monotonic,spearmanr,-0.0086623480142785,rho,0.1909719674139257,22792,,0.1930938781629693,False
fnlwgt,hours_per_week,num_num,monotonic,spearmanr,-0.0181921420081277,rho,0.0060226094962866,22792,,0.0062995110823227665,True
education_num,capital_gain,num_num,monotonic,spearmanr,0.1215151718522423,rho,1.0443459653605247e-75,22792,,1.863440840153093e-75,True
education_num,capital_loss,num_num,monotonic,spearmanr,0.0824514467728089,rho,1.1122666575968448e-35,22792,,1.5815041537705136e-35,True
education_num,hours_per_week,num_num,monotonic,spearmanr,0.1688061902432512,rho,2.6826279229418075e-145,22792,,6.259465153530884e-145,True
capital_gain,capital_loss,num_num,monotonic,spearmanr,-0.0673967278205793,rho,2.2917823100069224e-24,22792,,2.9793170030089992e-24,True
capital_gain,hours_per_week,num_num,monotonic,spearmanr,0.0957281442214969,rho,1.5165333180718575e-47,22792,,2.339059863466763e-47,True
capital_loss,hours_per_week,num_num,monotonic,spearmanr,0.0574168579218136,rho,4.138579603153949e-18,22792,,5.159051286123416e-18,True
age,workclass,num_cat,group_difference,kruskal,0.0475682540103918,eta2_approx,5.959071120772208e-233,22792,nonparametric_preferred,1.9366981142509678e-232,True
age,education,num_cat,group_difference,kruskal,0.0544050870038727,eta2_approx,4.955690098983218e-275,22792,nonparametric_preferred,1.6702511074350843e-274,True
age,marital_status,num_cat,group_difference,kruskal,0.3282594112476623,eta2_approx,0.0,22792,nonparametric_preferred,0.0,True
age,occupation,num_cat,group_difference,kruskal,0.0354007786964258,eta2_approx,1.5948705117730736e-196,22792,nonparametric_preferred,4.397976259737869e-196,True
age,relationship,num_cat,group_difference,kruskal,0.2280542985913009,eta2_approx,0.0,22792,nonparametric_preferred,0.0,True
age,race,num_cat,group_difference,kruskal,0.0020254438995363,eta2_approx,2.7195956140078534e-08,22792,nonparametric_preferred,3.0935400109339335e-08,True
age,sex,num_cat,group_difference,mannwhitneyu,0.1243838598468722,rank_biserial,7.290096714993961e-53,22792,nonparametric_preferred,1.163857545727106e-52,True
age,native_country,num_cat,group_difference,skipped,,eta2,,22792,too_many_categories_42,,False
age,income,num_cat,group_difference,mannwhitneyu,0.3713252547285052,rank_biserial,0.0,22792,nonparametric_preferred,0.0,True
fnlwgt,workclass,num_cat,group_difference,kruskal,0.0024085553782915,eta2_approx,4.772047213877229e-11,22792,nonparametric_preferred,5.639692161854907e-11,True
fnlwgt,education,num_cat,group_difference,kruskal,0.0047922072218201,eta2_approx,3.675358234717953e-17,22792,nonparametric_preferred,4.5196972886396455e-17,True
fnlwgt,marital_status,num_cat,group_difference,kruskal,0.0031321994145967,eta2_approx,1.0071858398157691e-14,22792,nonparametric_preferred,1.2220521523097997e-14,True
fnlwgt,occupation,num_cat,group_difference,kruskal,0.0032152865930018,eta2_approx,1.0229024574420436e-14,22792,nonparametric_preferred,1.2247911003582363e-14,True
fnlwgt,relationship,num_cat,group_difference,kruskal,0.0013264880525523,eta2_approx,1.3563916576233876e-07,22792,nonparametric_preferred,1.5052639127283937e-07,True
fnlwgt,race,num_cat,group_difference,kruskal,0.0201320033825786,eta2_approx,2.6723605659885656e-100,22792,nonparametric_preferred,5.404106922332432e-100,True
fnlwgt,sex,num_cat,group_difference,mannwhitneyu,0.0288702316139675,rank_biserial,0.0003836944884595,22792,nonparametric_preferred,0.0004107788052919353,True
fnlwgt,native_country,num_cat,group_difference,skipped,,eta2,,22792,too_many_categories_42,,False
fnlwgt,income,num_cat,group_difference,mannwhitneyu,-0.0122582078835693,rank_biserial,0.1695126157734996,22792,nonparametric_preferred,0.17332188803807264,False
education_num,workclass,num_cat,group_difference,kruskal,0.0391266571534124,eta2_approx,3.000369822293736e-183,22792,nonparametric_preferred,7.800961537963714e-183,True
education_num,education,num_cat,group_difference,kruskal,1.000000000000123,eta2_approx,0.0,22792,nonparametric_preferred,0.0,True
education_num,marital_status,num_cat,group_difference,kruskal,0.0140458556409718,eta2_approx,7.335601259594371e-62,22792,nonparametric_preferred,1.1920352046840853e-61,True
education_num,occupation,num_cat,group_difference,kruskal,0.3125120391757948,eta2_approx,0.0,22792,nonparametric_preferred,0.0,True
education_num,relationship,num_cat,group_difference,kruskal,0.0269661794940286,eta2_approx,2.572186328161103e-132,22792,nonparametric_preferred,5.851723896566509e-132,True
education_num,race,num_cat,group_difference,kruskal,0.0116822712841232,eta2_approx,1.824793488793244e-63,22792,nonparametric_preferred,3.019203772367004e-63,True
education_num,sex,num_cat,group_difference,mannwhitneyu,0.016606138704361,rank_biserial,0.0361961807860142,22792,nonparametric_preferred,0.03743014149462832,True
education_num,native_country,num_cat,group_difference,skipped,,eta2,,22792,too_many_categories_42,,False
education_num,income,num_cat,group_difference,mannwhitneyu,0.4369701412086971,rank_biserial,0.0,22792,nonparametric_preferred,0.0,True
capital_gain,workclass,num_cat,group_difference,kruskal,0.0118756095057516,eta2_approx,4.520531517625852e-30,22792,nonparametric_preferred,5.961860407303659e-30,True
capital_gain,education,num_cat,group_difference,kruskal,0.0398851680258721,eta2_approx,1.3453750696286418e-100,22792,nonparametric_preferred,2.7824802576410546e-100,True
capital_gain,marital_status,num_cat,group_difference,kruskal,0.0075309663258636,eta2_approx,1.846569263091018e-85,22792,nonparametric_preferred,3.429342917169033e-85,True
capital_gain,occupation,num_cat,group_difference,kruskal,0.0146420045029595,eta2_approx,9.016946768629555e-75,22792,nonparametric_preferred,1.5779656845101723e-74,True
capital_gain,relationship,num_cat,group_difference,kruskal,0.007988598375549,eta2_approx,4.200323567432383e-90,22792,nonparametric_preferred,8.132541375241423e-90,True
capital_gain,race,num_cat,group_difference,kruskal,0.0005681082096395,eta2_approx,0.0003501176622111,22792,nonparametric_preferred,0.00037929413406202506,True
capital_gain,sex,num_cat,group_difference,mannwhitneyu,0.0350949954807928,rank_biserial,1.6393573847095014e-19,22792,nonparametric_preferred,2.1011481973037272e-19,True
