var1,var2,type,relationship,test,effect,effect_name,p_value,n,notes,adjusted_p,significant
education_num,hours_per_week,num_num,monotonic,spearmanr,0.1688061902432512,rho,2.6826279229418075e-145,22792,,6.259465153530884e-145,True
age,education,num_cat,group_difference,kruskal,0.0544050870038727,eta2_approx,4.955690098983218e-275,22792,nonparametric_preferred,1.6702511074350843e-274,True
age,marital_status,num_cat,group_difference,kruskal,0.3282594112476623,eta2_approx,0.0,22792,nonparametric_preferred,0.0,True
age,relationship,num_cat,group_difference,kruskal,0.2280542985913009,eta2_approx,0.0,22792,nonparametric_preferred,0.0,True
age,income,num_cat,group_difference,mannwhitneyu,0.3713252547285052,rank_biserial,0.0,22792,nonparametric_preferred,0.0,True
education_num,education,num_cat,group_difference,kruskal,1.000000000000123,eta2_approx,0.0,22792,nonparametric_preferred,0.0,True
education_num,occupation,num_cat,group_difference,kruskal,0.3125120391757948,eta2_approx,0.0,22792,nonparametric_preferred,0.0,True
education_num,income,num_cat,group_difference,mannwhitneyu,0.4369701412086971,rank_biserial,0.0,22792,nonparametric_preferred,0.0,True
capital_gain,income,num_cat,group_difference,mannwhitneyu,0.1780386005964663,rank_biserial,0.0,22792,nonparametric_preferred,0.0,True
hours_per_week,marital_status,num_cat,group_difference,kruskal,0.0636390802136975,eta2_approx,0.0,22792,nonparametric_preferred,0.0,True
hours_per_week,occupation,num_cat,group_difference,kruskal,0.0933259135875453,eta2_approx,0.0,22792,nonparametric_preferred,0.0,True
hours_per_week,relationship,num_cat,group_difference,kruskal,0.0974004405094433,eta2_approx,0.0,22792,nonparametric_preferred,0.0,True
hours_per_week,sex,num_cat,group_difference,mannwhitneyu,0.3117902349438776,rank_biserial,0.0,22792,nonparametric_preferred,0.0,True
hours_per_week,income,num_cat,group_difference,mannwhitneyu,0.3477285061026011,rank_biserial,0.0,22792,nonparametric_preferred,0.0,True
workclass,occupation,cat_cat,association,chi2,0.4002263770374766,cramers_v,0.0,22792,sparse_table_expected_counts_low,0.0,True
education,income,cat_cat,association,chi2,0.3705170919023809,cramers_v,0.0,22792,,0.0,True
marital_status,relationship,cat_cat,association,chi2,0.4890658902570555,cramers_v,0.0,22792,,0.0,True
marital_status,sex,cat_cat,association,chi2,0.467614054735624,cramers_v,0.0,22792,,0.0,True
marital_status,income,cat_cat,association,chi2,0.4511018202864941,cramers_v,0.0,22792,,0.0,True
occupation,sex,cat_cat,association,chi2,0.4246729212235943,cramers_v,0.0,22792,,0.0,True
occupation,income,cat_cat,association,chi2,0.3530061096835622,cramers_v,0.0,22792,,0.0,True
relationship,sex,cat_cat,association,chi2,0.6493196852179826,cramers_v,0.0,22792,,0.0,True
relationship,income,cat_cat,association,chi2,0.4569347743203357,cramers_v,0.0,22792,,0.0,True
sex,income,cat_cat,association,chi2,0.2149546333169911,cramers_v,5.118439702888252e-231,22792,,1.6061310791821758e-230,True
