var1,var2,type,relationship,test,effect,effect_name,p_value,n,notes
workclass,education,cat_cat,association,chi2,0.10114453596009355,cramers_v,1.11551958077057e-310,22792,sparse_table_expected_counts_low
workclass,marital_status,cat_cat,association,chi2,0.08337911199332591,cramers_v,5.448630706643135e-168,22792,sparse_table_expected_counts_low
workclass,occupation,cat_cat,association,chi2,0.40022637703747665,cramers_v,0.0,22792,sparse_table_expected_counts_low
workclass,relationship,cat_cat,association,chi2,0.09932932294598693,cramers_v,1.0584760563510303e-209,22792,sparse_table_expected_counts_low
workclass,race,cat_cat,association,chi2,0.0601567125612103,cramers_v,3.4977112960492923e-51,22792,
workclass,sex,cat_cat,association,chi2,0.1563011741007188,cramers_v,4.475513787419548e-115,22792,
workclass,native_country,cat_cat,association,skipped,,cramers_v,,22792,too_many_categories_9x42
workclass,income,cat_cat,association,chi2,0.1812870523327691,cramers_v,1.9485010793911903e-156,22792,
education,marital_status,cat_cat,association,chi2,0.09330458365242253,cramers_v,1.4997661760896746e-191,22792,sparse_table_expected_counts_low
education,occupation,cat_cat,association,chi2,0.18835948798869243,cramers_v,0.0,22792,
education,relationship,cat_cat,association,chi2,0.12321094328977814,cramers_v,1.576997063185e-311,22792,
education,race,cat_cat,association,chi2,0.0755825499031132,cramers_v,1.1599704102361713e-74,22792,sparse_table_expected_counts_low
education,sex,cat_cat,association,chi2,0.09741965443860004,cramers_v,1.0111173826269923e-37,22792,
education,native_country,cat_cat,association,skipped,,cramers_v,,22792,too_many_categories_16x42
education,income,cat_cat,association,chi2,0.37051709190238097,cramers_v,0.0,22792,
marital_status,occupation,cat_cat,association,chi2,0.13274425138444426,cramers_v,0.0,22792,sparse_table_expected_counts_low
marital_status,relationship,cat_cat,association,chi2,0.48906589025705555,cramers_v,0.0,22792,
marital_status,race,cat_cat,association,chi2,0.08241377166454772,cramers_v,2.25132463807316e-115,22792,
marital_status,sex,cat_cat,association,chi2,0.46761405473562406,cramers_v,0.0,22792,
marital_status,native_country,cat_cat,association,skipped,,cramers_v,,22792,too_many_categories_7x42
marital_status,income,cat_cat,association,chi2,0.4511018202864941,cramers_v,0.0,22792,
occupation,relationship,cat_cat,association,chi2,0.17886614564340098,cramers_v,0.0,22792,
occupation,race,cat_cat,association,chi2,0.0803445804541171,cramers_v,7.351980205065293e-90,22792,
occupation,sex,cat_cat,association,chi2,0.4246729212235943,cramers_v,0.0,22792,
occupation,native_country,cat_cat,association,skipped,,cramers_v,,22792,too_many_categories_15x42
occupation,income,cat_cat,association,chi2,0.3530061096835622,cramers_v,0.0,22792,
relationship,race,cat_cat,association,chi2,0.0954373734239173,cramers_v,4.991257379646912e-163,22792,
relationship,sex,cat_cat,association,chi2,0.6493196852179826,cramers_v,0.0,22792,
relationship,native_country,cat_cat,association,skipped,,cramers_v,,22792,too_many_categories_6x42
relationship,income,cat_cat,association,chi2,0.4569347743203357,cramers_v,0.0,22792,
race,sex,cat_cat,association,chi2,0.11726587666912584,cramers_v,1.379496411162047e-66,22792,
race,native_country,cat_cat,association,skipped,,cramers_v,,22792,too_many_categories_5x42
race,income,cat_cat,association,chi2,0.09781563031279734,cramers_v,4.874216592672192e-46,22792,
sex,native_country,cat_cat,association,skipped,,cramers_v,,22792,too_many_categories_2x42
sex,income,cat_cat,association,chi2,0.21495463331699116,cramers_v,5.1184397028882517e-231,22792,
native_country,income,cat_cat,association,skipped,,cramers_v,,22792,too_many_categories_42x2
