var1,var2,type,relationship,test,effect,effect_name,p_value,n,notes
age,workclass,num_cat,group_difference,kruskal,0.04756825401039183,eta2_approx,5.959071120772209e-233,22792,nonparametric_preferred
age,education,num_cat,group_difference,kruskal,0.05440508700387271,eta2_approx,4.9556900989832184e-275,22792,nonparametric_preferred
age,marital_status,num_cat,group_difference,kruskal,0.3282594112476623,eta2_approx,0.0,22792,nonparametric_preferred
age,occupation,num_cat,group_difference,kruskal,0.03540077869642585,eta2_approx,1.5948705117730736e-196,22792,nonparametric_preferred
age,relationship,num_cat,group_difference,kruskal,0.2280542985913009,eta2_approx,0.0,22792,nonparametric_preferred
age,race,num_cat,group_difference,kruskal,0.002025443899536315,eta2_approx,2.719595614007853e-08,22792,nonparametric_preferred
age,sex,num_cat,group_difference,mannwhitneyu,0.12438385984687228,rank_biserial,7.290096714993961e-53,22792,nonparametric_preferred
age,native_country,num_cat,group_difference,skipped,,eta2,,22792,too_many_categories_42
age,income,num_cat,group_difference,mannwhitneyu,0.3713252547285052,rank_biserial,0.0,22792,nonparametric_preferred
fnlwgt,workclass,num_cat,group_difference,kruskal,0.002408555378291591,eta2_approx,4.7720472138772284e-11,22792,nonparametric_preferred
fnlwgt,education,num_cat,group_difference,kruskal,0.00479220722182011,eta2_approx,3.6753582347179525e-17,22792,nonparametric_preferred
fnlwgt,marital_status,num_cat,group_difference,kruskal,0.00313219941459679,eta2_approx,1.007185839815769e-14,22792,nonparametric_preferred
fnlwgt,occupation,num_cat,group_difference,kruskal,0.0032152865930018676,eta2_approx,1.0229024574420437e-14,22792,nonparametric_preferred
fnlwgt,relationship,num_cat,group_difference,kruskal,0.0013264880525523859,eta2_approx,1.3563916576233876e-07,22792,nonparametric_preferred
fnlwgt,race,num_cat,group_difference,kruskal,0.020132003382578603,eta2_approx,2.6723605659885656e-100,22792,nonparametric_preferred
fnlwgt,sex,num_cat,group_difference,mannwhitneyu,0.028870231613967512,rank_biserial,0.0003836944884595899,22792,nonparametric_preferred
fnlwgt,native_country,num_cat,group_difference,skipped,,eta2,,22792,too_many_categories_42
