var1,var2,type,relationship,test,effect,effect_name,p_value,n,notes
age,fnlwgt,num_num,monotonic,spearmanr,-0.07812934085204933,rho,3.359520222816567e-32,22792,
age,education_num,num_num,linear,pearsonr,0.04134767570234963,r,4.2490053072969214e-10,22792,
age,capital_gain,num_num,monotonic,spearmanr,0.1224599126540263,rho,7.204571801829049e-77,22792,
age,capital_loss,num_num,monotonic,spearmanr,0.059122923222713,rho,4.1414417128930853e-19,22792,
age,hours_per_week,num_num,monotonic,spearmanr,0.14308994626020227,rho,1.5481122486098816e-104,22792,
fnlwgt,education_num,num_num,monotonic,spearmanr,-0.033398207832728656,rho,4.576564982629413e-07,22792,
fnlwgt,capital_gain,num_num,monotonic,spearmanr,-0.003190756155056321,rho,0.6300305235490125,22792,
fnlwgt,capital_loss,num_num,monotonic,spearmanr,-0.008662348014278563,rho,0.1909719674139257,22792,
fnlwgt,hours_per_week,num_num,monotonic,spearmanr,-0.01819214200812779,rho,0.006022609496286669,22792,
education_num,capital_gain,num_num,monotonic,spearmanr,0.12151517185224237,rho,1.0443459653605247e-75,22792,
education_num,capital_loss,num_num,monotonic,spearmanr,0.08245144677280891,rho,1.1122666575968448e-35,22792,
education_num,hours_per_week,num_num,monotonic,spearmanr,0.16880619024325125,rho,2.6826279229418075e-145,22792,
capital_gain,capital_loss,num_num,monotonic,spearmanr,-0.06739672782057937,rho,2.2917823100069224e-24,22792,
capital_gain,hours_per_week,num_num,monotonic,spearmanr,0.09572814422149695,rho,1.5165333180718575e-47,22792,
capital_loss,hours_per_week,num_num,monotonic,spearmanr,0.05741685792181367,rho,4.1385796031539484e-18,22792,
