age,age__is_outlier,workclass,workclass__is_missing,fnlwgt,fnlwgt__is_outlier,education,education_num,education_num__is_outlier,marital_status,occupation,occupation__is_missing,relationship,race,sex,capital_gain,capital_gain__is_outlier,capital_loss,capital_loss__is_outlier,hours_per_week,hours_per_week__is_outlier,native_country,native_country__is_missing,income
34,0,Self-emp-not-inc,0,56460,0,HS-grad,9,0,Married-civ-spouse,Farming-fishing,0,Wife,White,Female,0,0,2179,0,12,1,United-States,0,<=50K
48,0,Self-emp-not-inc,0,243631,0,Some-college,10,0,Married-civ-spouse,Craft-repair,0,Husband,Amer-Indian-Eskimo,Male,7688,0,0,0,40,0,United-States,0,>50K
23,0,State-gov,0,56402,0,Some-college,10,0,Married-civ-spouse,Prof-specialty,0,Husband,White,Male,0,0,0,0,30,1,United-States,0,<=50K
56,0,Local-gov,0,255406,0,HS-grad,9,0,Divorced,Exec-managerial,0,Not-in-family,White,Female,0,0,0,0,40,0,United-States,0,<=50K
17,0,Private,0,297246,0,11th,7,0,Never-married,Priv-house-serv,0,Own-child,White,Female,0,0,0,0,9,1,United-States,0,<=50K
34,0,Private,0,152453,0,12th,8,0,Married-civ-spouse,Craft-repair,0,Husband,White,Male,0,0,0,0,40,0,Guatemala,0,<=50K
37,0,Private,0,140673,0,Some-college,10,0,Married-civ-spouse,Sales,0,Wife,White,Female,0,0,0,0,40,0,United-States,0,>50K
49,0,Self-emp-not-inc,0,162856,0,Some-college,10,0,Divorced,Exec-managerial,0,Not-in-family,Amer-Indian-Eskimo,Female,0,0,0,0,40,0,United-States,0,<=50K
55,0,Private,0,132887,0,HS-grad,9,0,Married-civ-spouse,Transport-moving,0,Husband,Black,Male,3411,0,0,0,40,0,Jamaica,0,<=50K
25,0,Private,0,131463,0,Bachelors,13,0,Married-civ-spouse,Prof-specialty,0,Husband,White,Male,0,0,0,0,40,0,United-States,0,<=50K
38,0,Private,0,255621,0,HS-grad,9,0,Married-civ-spouse,Other-service,0,Husband,White,Male,0,0,0,0,40,0,United-States,0,<=50K
37,0,Private,0,38468,0,Some-college,10,0,Never-married,Adm-clerical,0,Not-in-family,White,Female,0,0,0,0,40,0,United-States,0,<=50K
45,0,Private,0,88500,0,Some-college,10,0,Married-civ-spouse,Machine-op-inspct,0,Husband,White,Male,0,0,0,0,44,0,United-States,0,>50K
51,0,Local-gov,0,26832,0,HS-grad,9,0,Married-civ-spouse,Craft-repair,0,Husband,White,Male,0,0,0,0,40,0,United-States,0,>50K
47,0,Private,0,52795,0,Some-college,10,0,Married-civ-spouse,Machine-op-inspct,0,Husband,White,Male,0,0,0,0,46,0,United-States,0,<=50K
34,0,Private,0,314646,0,9th,5,0,Married-civ-spouse,Craft-repair,0,Husband,White,Male,0,0,0,0,40,0,United-States,0,<=50K
27,0,Local-gov,0,322208,0,Some-college,10,0,Never-married,Transport-moving,0,Own-child,White,Male,0,0,0,0,40,0,United-States,0,<=50K
45,0,Private,0,140644,0,HS-grad,9,0,Married-civ-spouse,Machine-op-inspct,0,Husband,White,Male,0,0,0,0,40,0,United-States,0,<=50K
21,0,Private,0,73679,0,Some-college,10,0,Never-married,Exec-managerial,0,Own-child,White,Female,0,0,0,0,40,0,United-States,0,<=50K
23,0,Private,0,85088,0,Some-college,10,0,Never-married,Other-service,0,Own-child,White,Female,0,0,0,0,37,0,United-States,0,<=50K
46,0,Private,0,133616,0,Some-college,10,0,Divorced,Adm-clerical,0,Unmarried,White,Female,0,0,0,0,40,0,United-States,0,<=50K
22,0,Private,0,192455,0,HS-grad,9,0,Never-married,Adm-clerical,0,Unmarried,White,Female,0,0,0,0,40,0,United-States,0,<=50K
31,0,Private,0,173350,0,HS-grad,9,0,Never-married,Other-service,0,Not-in-family,White,Female,0,0,0,0,30,1,United-States,0,<=50K
33,0,Private,0,199046,0,Bachelors,13,0,Never-married,Sales,0,Not-in-family,White,Female,0,0,0,0,40,0,United-States,0,<=50K
55,0,Self-emp-not-inc,0,322691,0,Masters,14,0,Married-civ-spouse,Sales,0,Husband,White,Male,3103,0,0,0,55,1,United-States,0,>50K
24,0,Private,0,278130,0,Assoc-acdm,12,0,Never-married,Adm-clerical,0,Not-in-family,White,Male,0,0,0,0,40,0,United-States,0,<=50K
33,0,Private,0,127215,0,Some-college,10,0,Married-civ-spouse,Sales,0,Husband,White,Male,0,0,0,0,48,0,United-States,0,>50K
43,0,Private,0,269015,0,HS-grad,9,0,Married-civ-spouse,Machine-op-inspct,0,Husband,Black,Male,0,0,0,0,40,0,Germany,0,>50K
46,0,Private,0,251786,0,1st-4th,2,1,Separated,Other-service,0,Not-in-family,White,Female,0,0,0,0,40,0,Mexico,0,<=50K
18,0,Private,0,115839,0,12th,8,0,Never-married,Adm-clerical,0,Not-in-family,White,Female,0,0,0,0,30,1,United-States,0,<=50K
23,0,Private,0,277328,0,Some-college,10,0,Never-married,Handlers-cleaners,0,Own-child,White,Male,0,0,0,0,32,1,Cuba,0,<=50K
44,0,Federal-gov,0,244054,0,Some-college,10,0,Divorced,Exec-managerial,0,Unmarried,White,Male,0,0,0,0,60,1,United-States,0,>50K
30,0,Self-emp-not-inc,0,173854,0,HS-grad,9,0,Married-civ-spouse,Craft-repair,0,Husband,White,Male,0,0,0,0,60,1,United-States,0,<=50K
22,0,missing,1,376277,0,Some-college,10,0,Divorced,missing,1,Not-in-family,White,Female,0,0,0,0,35,0,United-States,0,<=50K
45,0,Federal-gov,0,168232,0,Bachelors,13,0,Never-married,Adm-clerical,0,Not-in-family,White,Male,0,0,0,0,55,1,United-States,0,>50K
32,0,Private,0,193260,0,Some-college,10,0,Married-civ-spouse,Machine-op-inspct,0,Husband,Asian-Pac-Islander,Male,0,0,0,0,40,0,Philippines,0,<=50K
53,0,missing,1,64322,0,7th-8th,4,1,Separated,missing,1,Not-in-family,White,Male,0,0,0,0,40,0,United-States,0,<=50K
27,0,Private,0,165519,0,HS-grad,9,0,Married-civ-spouse,Craft-repair,0,Husband,White,Male,0,0,0,0,40,0,United-States,0,<=50K
22,0,Private,0,305498,0,HS-grad,9,0,Divorced,Sales,0,Own-child,White,Female,0,0,0,0,33,0,United-States,0,<=50K
31,0,Private,0,236599,0,Bachelors,13,0,Married-civ-spouse,Exec-managerial,0,Husband,White,Male,0,0,0,0,45,0,United-States,0,>50K
35,0,Private,0,283305,0,Bachelors,13,0,Never-married,Exec-managerial,0,Not-in-family,White,Female,0,0,0,0,40,0,United-States,0,<=50K
63,0,Self-emp-not-inc,0,194638,0,HS-grad,9,0,Married-civ-spouse,Craft-repair,0,Husband,White,Male,0,0,0,0,32,1,United-States,0,<=50K
36,0,Private,0,33001,0,HS-grad,9,0,Divorced,Farming-fishing,0,Unmarried,White,Male,0,0,0,0,50,0,United-States,0,<=50K
48,0,Self-emp-inc,0,184787,0,7th-8th,4,1,Married-civ-spouse,Craft-repair,0,Husband,White,Male,0,0,0,0,50,0,United-States,0,>50K
31,0,Self-emp-not-inc,0,216283,0,Assoc-acdm,12,0,Married-civ-spouse,Other-service,0,Wife,White,Female,0,0,0,0,35,0,United-States,0,>50K
20,0,Private,0,232577,0,Some-college,10,0,Never-married,Other-service,0,Unmarried,White,Female,0,0,0,0,40,0,United-States,0,<=50K
42,0,Self-emp-not-inc,0,101709,0,Assoc-voc,11,0,Married-civ-spouse,Craft-repair,0,Husband,Asian-Pac-Islander,Male,2885,0,0,0,40,0,United-States,0,<=50K
35,0,Self-emp-inc,0,153976,0,HS-grad,9,0,Married-civ-spouse,Exec-managerial,0,Husband,White,Male,0,0,0,0,60,1,United-States,0,<=50K
62,0,Private,0,176839,0,Bachelors,13,0,Married-civ-spouse,Tech-support,0,Husband,White,Male,0,0,0,0,38,0,United-States,0,<=50K
64,0,Federal-gov,0,271550,0,Some-college,10,0,Married-civ-spouse,Transport-moving,0,Husband,White,Male,0,0,0,0,40,0,United-States,0,>50K
27,0,Private,0,77774,0,HS-grad,9,0,Never-married,Machine-op-inspct,0,Own-child,White,Female,0,0,0,0,34,0,United-States,0,<=50K
24,0,Private,0,88126,0,HS-grad,9,0,Never-married,Craft-repair,0,Not-in-family,White,Male,0,0,0,0,40,0,United-States,0,<=50K
65,0,Self-emp-inc,0,178771,0,HS-grad,9,0,Married-civ-spouse,Exec-managerial,0,Husband,White,Male,0,0,0,0,40,0,United-States,0,<=50K
45,0,Private,0,221780,0,Some-college,10,0,Divorced,Handlers-cleaners,0,Not-in-family,White,Male,0,0,0,0,30,1,United-States,0,<=50K
28,0,missing,1,291374,0,HS-grad,9,0,Separated,missing,1,Unmarried,Black,Female,0,0,0,0,30,1,United-States,0,<=50K
59,0,Private,0,175689,0,Some-college,10,0,Married-civ-spouse,Adm-clerical,0,Wife,White,Female,0,0,0,0,14,1,Cuba,0,>50K
48,0,Private,0,169324,0,HS-grad,9,0,Never-married,Other-service,0,Unmarried,Black,Female,0,0,0,0,32,1,Haiti,0,<=50K
42,0,Private,0,190179,0,Bachelors,13,0,Married-civ-spouse,Prof-specialty,0,Husband,White,Male,99999,0,0,0,40,0,United-States,0,>50K
41,0,Private,0,118853,0,Some-college,10,0,Married-civ-spouse,Sales,0,Husband,White,Male,0,0,0,0,40,0,United-States,0,<=50K
25,0,Local-gov,0,169905,0,Some-college,10,0,Married-civ-spouse,Farming-fishing,0,Husband,White,Male,0,0,0,0,40,0,United-States,0,<=50K
58,0,Private,0,140363,0,HS-grad,9,0,Divorced,Machine-op-inspct,0,Not-in-family,White,Male,3325,0,0,0,30,1,United-States,0,<=50K
51,0,Private,0,122288,0,Some-college,10,0,Widowed,Machine-op-inspct,0,Unmarried,White,Female,0,0,0,0,36,0,United-States,0,<=50K
49,0,Private,0,31267,0,7th-8th,4,1,Married-civ-spouse,Craft-repair,0,Husband,White,Male,0,0,0,0,40,0,United-States,0,<=50K
31,0,Private,0,59496,0,Some-college,10,0,Married-civ-spouse,Adm-clerical,0,Husband,White,Male,0,0,0,0,50,0,United-States,0,<=50K
29,0,Private,0,285290,0,11th,7,0,Never-married,Other-service,0,Unmarried,Black,Female,0,0,0,0,40,0,United-States,0,<=50K
30,0,Self-emp-not-inc,0,116666,0,Masters,14,0,Divorced,Prof-specialty,0,Not-in-family,Asian-Pac-Islander,Male,0,0,0,0,50,0,India,0,>50K
40,0,Private,0,182140,0,HS-grad,9,0,Separated,Transport-moving,0,Unmarried,Black,Male,0,0,0,0,40,0,United-States,0,<=50K
23,0,Private,0,218899,0,Bachelors,13,0,Never-married,Sales,0,Own-child,White,Female,0,0,0,0,60,1,United-States,0,<=50K
