var1,var2,type,relationship,test,effect,effect_name,p_value,n,notes,adjusted_p,significant
medinc,houseage,num_num,monotonic,spearmanr,-0.1447282425476456,rho,1.8016479529329382e-68,14448,,5.4049438587988145e-68,True
medinc,averooms,num_num,monotonic,spearmanr,0.6403162175674963,rho,0.0,14448,,0.0,True
medinc,avebedrms,num_num,monotonic,spearmanr,-0.253697009471328,rho,5.3548003635338695e-211,14448,,2.7538973298174187e-210,True
medinc,population,num_num,monotonic,spearmanr,0.0043636777392189,rho,0.5999513649597565,14448,,0.6170928325300353,False
medinc,aveoccup,num_num,monotonic,spearmanr,-0.0400328749509359,rho,1.483407602130383e-06,14448,,1.9072383455962068e-06,True
medinc,latitude,num_num,monotonic,spearmanr,-0.0858748913007223,rho,4.6279771546428555e-25,14448,,6.941965731964283e-25,True
medinc,longitude,num_num,monotonic,spearmanr,-0.0124747384632907,rho,0.133772463044854,14448,,0.15049402092546074,False
medinc,medhouseval,num_num,monotonic,spearmanr,0.6765855358322875,rho,0.0,14448,,0.0,True
houseage,averooms,num_num,monotonic,spearmanr,-0.2321101223534895,rho,5.3904447589129686e-176,14448,,2.1561779035651874e-175,True
houseage,avebedrms,num_num,monotonic,spearmanr,-0.1213939745341651,rho,1.4615970119663474e-48,14448,,3.095146613575794e-48,True
houseage,population,num_num,monotonic,spearmanr,-0.2844377074083878,rho,5.255036169477442e-267,14448,,4.729532552529697e-266,True
houseage,aveoccup,num_num,monotonic,spearmanr,-0.0222619958590793,rho,0.0074509250379306,14448,,0.008652687140822632,True
houseage,latitude,num_num,linear,pearsonr,0.0034607017484691,r,0.6774531554611091,14448,,0.6774531554611091,False
houseage,longitude,num_num,linear,pearsonr,-0.1010827560609723,r,3.958895190537786e-34,14448,,6.478192129970922e-34,True
houseage,medhouseval,num_num,linear,pearsonr,0.1065492542730623,r,9.456096518286925e-38,14448,,1.6210451174206158e-37,True
averooms,avebedrms,num_num,monotonic,spearmanr,0.087193310351452,rho,8.664073288221565e-26,14448,,1.356115819025984e-25,True
averooms,population,num_num,monotonic,spearmanr,-0.1072522611737511,rho,3.132919554884086e-38,14448,,5.639255198791355e-38,True
averooms,aveoccup,num_num,monotonic,spearmanr,0.0228989948840505,rho,0.0059128036416475,14448,,0.007095364369977,True
averooms,latitude,num_num,monotonic,spearmanr,0.1326029217974236,rho,1.1199434796796984e-57,14448,,2.6878643512312764e-57,True
averooms,longitude,num_num,monotonic,spearmanr,-0.0485363308772785,rho,5.315095306878924e-09,14448,,7.086793742505232e-09,True
averooms,medhouseval,num_num,monotonic,spearmanr,0.2564393692539237,rho,1.0720814798806103e-215,14448,,6.432488879283661e-215,True
avebedrms,population,num_num,monotonic,spearmanr,0.0252553466470086,rho,0.0023981092763118,14448,,0.002976963239559476,True
avebedrms,aveoccup,num_num,monotonic,spearmanr,-0.1346827975640964,rho,1.848842354024237e-59,14448,,4.754166053205181e-59,True
avebedrms,latitude,num_num,monotonic,spearmanr,0.0493853133864721,rho,2.8638700429019553e-09,14448,,4.077960732729481e-09,True
avebedrms,longitude,num_num,monotonic,spearmanr,0.0120059805731714,rho,0.1490080735565287,14448,,0.16255426206166768,False
avebedrms,medhouseval,num_num,monotonic,spearmanr,-0.1272984102677004,rho,2.9228107319508123e-53,14448,,6.5763241468893275e-53,True
population,aveoccup,num_num,monotonic,spearmanr,0.2370112536432012,rho,1.2306512364551712e-183,14448,,5.53793056404827e-183,True
population,latitude,num_num,monotonic,spearmanr,-0.1127351418393579,rho,4.411048778465354e-42,14448,,8.357776632881723e-42,True
population,longitude,num_num,monotonic,spearmanr,0.1132852778677998,rho,1.767480549367861e-42,14448,,3.534961098735722e-42,True
population,medhouseval,num_num,monotonic,spearmanr,0.0048419850280141,rho,0.5605943987285822,14448,,0.5935705398302635,False
aveoccup,latitude,num_num,monotonic,spearmanr,-0.1499823621769569,rho,1.8840950639873227e-73,14448,,6.166129300322148e-73,True
aveoccup,longitude,num_num,monotonic,spearmanr,0.177960148333608,rho,4.152860899755553e-103,14448,,1.495029923911999e-102,True
aveoccup,medhouseval,num_num,monotonic,spearmanr,-0.2568354542872436,rho,2.2225897638023885e-216,14448,,1.6002646299377199e-215,True
latitude,longitude,num_num,linear,pearsonr,-0.9234083196769404,r,0.0,14448,,0.0,True
latitude,medhouseval,num_num,linear,pearsonr,-0.141528425741669,r,1.5802539088095597e-65,14448,,4.376087747472627e-65,True
longitude,medhouseval,num_num,linear,pearsonr,-0.0493471718962508,r,2.9451938625268474e-09,14448,,4.077960732729481e-09,True
