var1,var2,type,relationship,test,effect,effect_name,p_value,n,notes
medinc,houseage,num_num,monotonic,spearmanr,-0.14472824254764563,rho,1.8016479529329384e-68,14448,
medinc,averooms,num_num,monotonic,spearmanr,0.6403162175674963,rho,0.0,14448,
medinc,avebedrms,num_num,monotonic,spearmanr,-0.25369700947132806,rho,5.354800363533869e-211,14448,
medinc,population,num_num,monotonic,spearmanr,0.00436367773921898,rho,0.5999513649597565,14448,
medinc,aveoccup,num_num,monotonic,spearmanr,-0.04003287495093594,rho,1.483407602130383e-06,14448,
medinc,latitude,num_num,monotonic,spearmanr,-0.08587489130072232,rho,4.627977154642856e-25,14448,
medinc,longitude,num_num,monotonic,spearmanr,-0.012474738463290717,rho,0.133772463044854,14448,
medinc,medhouseval,num_num,monotonic,spearmanr,0.6765855358322875,rho,0.0,14448,
houseage,averooms,num_num,monotonic,spearmanr,-0.23211012235348955,rho,5.390444758912969e-176,14448,
houseage,avebedrms,num_num,monotonic,spearmanr,-0.12139397453416519,rho,1.4615970119663474e-48,14448,
houseage,population,num_num,monotonic,spearmanr,-0.28443770740838786,rho,5.255036169477442e-267,14448,
houseage,aveoccup,num_num,monotonic,spearmanr,-0.022261995859079335,rho,0.00745092503793067,14448,
houseage,latitude,num_num,linear,pearsonr,0.0034607017484691366,r,0.6774531554611091,14448,
houseage,longitude,num_num,linear,pearsonr,-0.10108275606097236,r,3.958895190537786e-34,14448,
houseage,medhouseval,num_num,linear,pearsonr,0.10654925427306233,r,9.456096518286925e-38,14448,
averooms,avebedrms,num_num,monotonic,spearmanr,0.08719331035145209,rho,8.664073288221565e-26,14448,
averooms,population,num_num,monotonic,spearmanr,-0.10725226117375113,rho,3.1329195548840866e-38,14448,
averooms,aveoccup,num_num,monotonic,spearmanr,0.02289899488405057,rho,0.005912803641647593,14448,
averooms,latitude,num_num,monotonic,spearmanr,0.13260292179742364,rho,1.1199434796796984e-57,14448,
averooms,longitude,num_num,monotonic,spearmanr,-0.04853633087727852,rho,5.315095306878924e-09,14448,
averooms,medhouseval,num_num,monotonic,spearmanr,0.2564393692539237,rho,1.0720814798806103e-215,14448,
avebedrms,population,num_num,monotonic,spearmanr,0.025255346647008625,rho,0.0023981092763118335,14448,
avebedrms,aveoccup,num_num,monotonic,spearmanr,-0.13468279756409643,rho,1.8488423540242368e-59,14448,
avebedrms,latitude,num_num,monotonic,spearmanr,0.049385313386472146,rho,2.8638700429019553e-09,14448,
avebedrms,longitude,num_num,monotonic,spearmanr,0.012005980573171466,rho,0.14900807355652876,14448,
avebedrms,medhouseval,num_num,monotonic,spearmanr,-0.1272984102677004,rho,2.922810731950812e-53,14448,
population,aveoccup,num_num,monotonic,spearmanr,0.23701125364320128,rho,1.2306512364551714e-183,14448,
population,latitude,num_num,monotonic,spearmanr,-0.1127351418393579,rho,4.4110487784653534e-42,14448,
population,longitude,num_num,monotonic,spearmanr,0.11328527786779988,rho,1.767480549367861e-42,14448,
population,medhouseval,num_num,monotonic,spearmanr,0.004841985028014106,rho,0.5605943987285822,14448,
aveoccup,latitude,num_num,monotonic,spearmanr,-0.1499823621769569,rho,1.8840950639873227e-73,14448,
aveoccup,longitude,num_num,monotonic,spearmanr,0.177960148333608,rho,4.152860899755553e-103,14448,
aveoccup,medhouseval,num_num,monotonic,spearmanr,-0.2568354542872436,rho,2.2225897638023892e-216,14448,
latitude,longitude,num_num,linear,pearsonr,-0.9234083196769403,r,0.0,14448,
latitude,medhouseval,num_num,linear,pearsonr,-0.141528425741669,r,1.5802539088095595e-65,14448,
longitude,medhouseval,num_num,linear,pearsonr,-0.04934717189625084,r,2.9451938625268474e-09,14448,
