medinc,medinc__is_outlier,houseage,houseage__is_outlier,averooms,averooms__is_outlier,avebedrms,avebedrms__is_outlier,population,population__is_outlier,aveoccup,aveoccup__is_outlier,latitude,latitude__is_outlier,longitude,longitude__is_outlier,medhouseval,medhouseval__is_outlier
4.1312,0,35.0,0,5.882352941176471,0,0.9754901960784312,0,1218.0,0,2.985294117647059,0,33.93,0,-118.02,0,1.938,0
2.8631,0,20.0,0,4.401209677419355,0,1.0766129032258065,0,999.0,0,2.0141129032258065,0,32.79,0,-117.09,0,1.697,0
4.2026,0,24.0,0,5.617543859649123,0,0.9894736842105264,0,731.0,0,2.5649122807017544,0,34.59,0,-120.14,0,2.598,0
3.1094,0,14.0,0,5.869565217391305,0,1.0942028985507246,0,302.0,0,2.188405797101449,0,39.26,0,-121.0,0,1.361,0
3.3068,0,52.0,0,4.801204819277109,0,1.0662650602409638,0,1526.0,0,2.298192771084337,0,37.77,0,-122.45,0,5.00001,1
4.0791,0,11.0,0,5.878902045209904,0,1.0984930032292788,0,4773.0,1,2.568891280947255,0,33.17,0,-117.33,0,2.813,0
2.425,0,28.0,0,4.174025974025974,0,1.0935064935064935,0,926.0,0,2.4051948051948053,0,36.96,0,-122.03,0,2.161,0
2.7708,0,33.0,0,4.316037735849057,0,1.0613207547169812,0,826.0,0,3.89622641509434,0,33.91,0,-118.19,0,1.174,0
3.975,0,52.0,0,3.731006160164271,0,1.0985626283367556,0,800.0,0,1.6427104722792607,0,37.79,0,-122.44,0,5.00001,1
3.9508,0,6.0,0,5.8731884057971016,0,1.1111111111111112,0,3010.0,0,3.635265700483092,0,33.82,0,-116.46,0,1.042,0
3.0134,0,41.0,0,3.9130434782608696,0,0.9285714285714286,0,1535.0,0,4.767080745341615,1,33.91,0,-118.18,0,1.281,0
1.5086,0,12.0,0,3.983651226158038,0,0.9700272479564032,0,1708.0,0,4.653950953678474,1,36.21,0,-120.1,0,0.647,0
2.7891,0,40.0,0,5.71830985915493,0,1.0845070422535212,0,374.0,0,2.6338028169014085,0,39.32,0,-121.65,0,0.735,0
3.3281,0,40.0,0,5.847908745247148,0,0.9695817490494296,0,669.0,0,2.543726235741445,0,38.26,0,-122.13,0,1.702,0
5.4939,0,20.0,0,6.215815485996705,0,1.028006589785832,0,1965.0,0,3.2372322899505765,0,37.25,0,-121.85,0,2.412,0
1.8466,0,43.0,0,4.701807228915663,0,1.0662650602409638,0,862.0,0,2.5963855421686746,0,37.59,0,-120.95,0,0.815,0
3.8125,0,38.0,0,5.758720930232558,0,0.997093023255814,0,796.0,0,2.313953488372093,0,34.15,0,-117.28,0,0.974,0
4.74,0,42.0,0,5.105540897097625,0,1.0237467018469657,0,1136.0,0,2.9973614775725594,0,33.9,0,-118.36,0,2.3,0
3.2222,0,41.0,0,3.268292682926829,0,0.9146341463414634,0,198.0,0,2.414634146341464,0,37.93,0,-122.35,0,1.563,0
4.9671,0,24.0,0,4.188725490196078,0,1.071078431372549,0,892.0,0,2.1862745098039214,0,37.36,0,-122.02,0,3.352,0
