var1,var2,type,relationship,test,effect,effect_name,p_value,n,notes
limit_bal,sex,num_cat,group_difference,mannwhitneyu,0.06486959106062473,rank_biserial,1.6388026594297368e-15,21000,nonparametric_preferred
limit_bal,default_payment_next_month,num_cat,group_difference,mannwhitneyu,-0.23890426257087816,rank_biserial,1.0688366209460312e-137,21000,nonparametric_preferred
education,sex,num_cat,group_difference,mannwhitneyu,0.009206873626925405,rank_biserial,0.22057991284237732,21000,nonparametric_preferred
education,default_payment_next_month,num_cat,group_difference,mannwhitneyu,0.06150527995012878,rank_biserial,3.232209209065382e-12,21000,nonparametric_preferred
marriage,sex,num_cat,group_difference,mannwhitneyu,-0.028006969623439293,rank_biserial,7.739713277145182e-05,21000,nonparametric_preferred
marriage,default_payment_next_month,num_cat,group_difference,mannwhitneyu,-0.03196832522514037,rank_biserial,0.00012257825898832393,21000,nonparametric_preferred
age,sex,num_cat,group_difference,mannwhitneyu,-0.11286283392709451,rank_biserial,1.2513188641145863e-43,21000,nonparametric_preferred
age,default_payment_next_month,num_cat,group_difference,mannwhitneyu,0.011183119985394119,rank_biserial,0.24260706500420381,21000,nonparametric_preferred
pay_0,sex,num_cat,group_difference,mannwhitneyu,-0.06563099740803335,rank_biserial,6.702127565737032e-18,21000,nonparametric_preferred
pay_0,default_payment_next_month,num_cat,group_difference,mannwhitneyu,0.37900368007639984,rank_biserial,0.0,21000,nonparametric_preferred
pay_2,sex,num_cat,group_difference,mannwhitneyu,-0.08442685804078676,rank_biserial,1.9573229087397877e-29,21000,nonparametric_preferred
pay_2,default_payment_next_month,num_cat,group_difference,mannwhitneyu,0.2838941083772176,rank_biserial,3.5253434993167784e-228,21000,nonparametric_preferred
pay_3,sex,num_cat,group_difference,mannwhitneyu,-0.07784946157320927,rank_biserial,2.4668037835721735e-25,21000,nonparametric_preferred
pay_3,default_payment_next_month,num_cat,group_difference,mannwhitneyu,0.25598671386879335,rank_biserial,2.1994197622528776e-186,21000,nonparametric_preferred
pay_4,sex,num_cat,group_difference,mannwhitneyu,-0.07176746971695924,rank_biserial,3.0208440279532164e-22,21000,nonparametric_preferred
pay_4,default_payment_next_month,num_cat,group_difference,mannwhitneyu,0.22388852008588278,rank_biserial,2.308133234345485e-146,21000,nonparametric_preferred
pay_5,sex,num_cat,group_difference,mannwhitneyu,-0.0626305840517245,rank_biserial,1.35659778888914e-17,21000,nonparametric_preferred
pay_5,default_payment_next_month,num_cat,group_difference,mannwhitneyu,0.19917227888885647,rank_biserial,2.992711784351716e-118,21000,nonparametric_preferred
pay_6,sex,num_cat,group_difference,mannwhitneyu,-0.05790954941959181,rank_biserial,6.501378585767273e-15,21000,nonparametric_preferred
pay_6,default_payment_next_month,num_cat,group_difference,mannwhitneyu,0.18484256152518008,rank_biserial,1.4533083358683588e-99,21000,nonparametric_preferred
bill_amt1,sex,num_cat,group_difference,mannwhitneyu,-0.05365602867375463,rank_biserial,4.647411489567381e-11,21000,nonparametric_preferred
bill_amt1,default_payment_next_month,num_cat,group_difference,mannwhitneyu,-0.028784076052746244,rank_biserial,0.002645958382379064,21000,nonparametric_preferred
bill_amt2,sex,num_cat,group_difference,mannwhitneyu,-0.056188776202467317,rank_biserial,5.442158550937689e-12,21000,nonparametric_preferred
bill_amt2,default_payment_next_month,num_cat,group_difference,mannwhitneyu,-0.01644520057794585,rank_biserial,0.08584221295057065,21000,nonparametric_preferred
bill_amt3,sex,num_cat,group_difference,mannwhitneyu,-0.04589354703775994,rank_biserial,1.7888382090404465e-08,21000,nonparametric_preferred
bill_amt3,default_payment_next_month,num_cat,group_difference,mannwhitneyu,-0.01220968816034751,rank_biserial,0.2021248448617956,21000,nonparametric_preferred
bill_amt4,sex,num_cat,group_difference,mannwhitneyu,-0.03783984140974783,rank_biserial,3.418608176201038e-06,21000,nonparametric_preferred
bill_amt4,default_payment_next_month,num_cat,group_difference,mannwhitneyu,-0.009294896921597795,rank_biserial,0.3314495301996674,21000,nonparametric_preferred
bill_amt5,sex,num_cat,group_difference,mannwhitneyu,-0.02956906864085007,rank_biserial,0.0002839009064397065,21000,nonparametric_preferred
bill_amt5,default_payment_next_month,num_cat,group_difference,mannwhitneyu,-0.006909798563687453,rank_biserial,0.47022013660614215,21000,nonparametric_preferred
bill_amt6,sex,num_cat,group_difference,mannwhitneyu,-0.022631324385712803,rank_biserial,0.005451764256378098,21000,nonparametric_preferred
