var1,var2,type,relationship,test,effect,effect_name,p_value,n,notes,adjusted_p,significant
fixed_acidity,volatile_acidity,num_num,linear,pearsonr,-0.2457632952662026,r,7.417063371745709e-17,1119,,2.5764535922906143e-16,True
fixed_acidity,citric_acid,num_num,linear,pearsonr,0.6606451687652202,r,2.8329984973259146e-141,1119,,6.232596694117012e-140,True
fixed_acidity,residual_sugar,num_num,monotonic,spearmanr,0.205474842793843,rho,3.922936159415894e-12,1119,,9.958222558517269e-12,True
fixed_acidity,chlorides,num_num,monotonic,spearmanr,0.2440209009126106,rho,1.2400416588770082e-16,1119,,4.0921374742941274e-16,True
fixed_acidity,free_sulfur_dioxide,num_num,monotonic,spearmanr,-0.1629065926658372,rho,4.2528122027788035e-08,1119,,8.019588725240029e-08,True
fixed_acidity,total_sulfur_dioxide,num_num,monotonic,spearmanr,-0.0807669685457159,rho,0.006868154042649,1119,,0.009644641847124128,True
fixed_acidity,density,num_num,linear,pearsonr,0.6566362130254186,r,5.214675050465147e-139,1119,,8.604213833267493e-138,True
fixed_acidity,ph,num_num,linear,pearsonr,-0.6782131444485223,r,1.2589448500133792e-151,1119,,4.1545180050441514e-150,True
fixed_acidity,sulphates,num_num,monotonic,spearmanr,0.18819351499849,rho,2.2229846787606422e-10,1119,,4.4459693575212844e-10,True
fixed_acidity,alcohol,num_num,linear,pearsonr,-0.0445151592962103,r,0.1367059625561204,1119,,0.17023761374913104,False
fixed_acidity,quality,num_num,linear,pearsonr,0.0992025659129649,r,0.0008906730862155,1119,,0.0013063205264494,True
volatile_acidity,citric_acid,num_num,linear,pearsonr,-0.551098881908769,r,6.823582837254025e-90,1119,,9.007129345175313e-89,True
volatile_acidity,residual_sugar,num_num,monotonic,spearmanr,0.0288882969230244,rho,0.3343059071335308,1119,,0.3739693198442887,False
volatile_acidity,chlorides,num_num,monotonic,spearmanr,0.1785187876283696,rho,1.8166493466083158e-09,1119,,3.526436966945554e-09,True
volatile_acidity,free_sulfur_dioxide,num_num,monotonic,spearmanr,0.0196862472748949,rho,0.510627192169439,1119,,0.543570881986822,False
volatile_acidity,total_sulfur_dioxide,num_num,monotonic,spearmanr,0.0910258160089172,rho,0.002304678616255,1119,,0.003306712797235434,True
volatile_acidity,density,num_num,linear,pearsonr,0.018236698897313,r,0.5422507087531481,1119,,0.5668651844428533,False
volatile_acidity,ph,num_num,linear,pearsonr,0.2215330664982567,r,6.597241700722005e-14,1119,,1.893121531511532e-13,True
volatile_acidity,sulphates,num_num,monotonic,spearmanr,-0.348932346586609,rho,2.1979408805385638e-33,1119,,1.0361721293967514e-32,True
volatile_acidity,alcohol,num_num,linear,pearsonr,-0.2097101815493234,r,1.3783434566669925e-12,1119,,3.790444505834229e-12,True
volatile_acidity,quality,num_num,linear,pearsonr,-0.3837827291004116,r,1.3941258298237375e-40,1119,,8.364754978942424e-40,True
citric_acid,residual_sugar,num_num,monotonic,spearmanr,0.1887537285631754,rho,1.9615396773162167e-10,1119,,4.1127072678128133e-10,True
citric_acid,chlorides,num_num,monotonic,spearmanr,0.1209964589323795,rho,4.951568182297496e-05,1119,,8.37957692388807e-05,True
citric_acid,free_sulfur_dioxide,num_num,monotonic,spearmanr,-0.0694962458893241,rho,0.0200738919553549,1119,,0.027038303450069866,True
citric_acid,total_sulfur_dioxide,num_num,monotonic,spearmanr,0.0263036114699639,rho,0.3793672136401502,1119,,0.4104628868893428,False
citric_acid,density,num_num,linear,pearsonr,0.3684827816607252,r,2.592775486148168e-37,1119,,1.3163321698906083e-36,True
citric_acid,ph,num_num,linear,pearsonr,-0.5332297166302464,r,3.2040853868309948e-83,1119,,3.5244939255140946e-82,True
citric_acid,sulphates,num_num,monotonic,spearmanr,0.3200444414568835,rho,4.553557592005906e-28,1119,,1.878342506702436e-27,True
citric_acid,alcohol,num_num,linear,pearsonr,0.1143178135962879,r,0.000126902562626,1119,,0.000199418312698,True
citric_acid,quality,num_num,linear,pearsonr,0.1969735983496132,r,2.9930493983096837e-11,1119,,6.811767596153073e-11,True
residual_sugar,chlorides,num_num,monotonic,spearmanr,0.1929687861981727,rho,7.558027310739186e-11,1119,,1.6627660083626207e-10,True
