var1,var2,type,relationship,test,effect,effect_name,p_value,n,notes
fixed_acidity,volatile_acidity,num_num,linear,pearsonr,-0.2457632952662026,r,7.417063371745709e-17,1119,
fixed_acidity,citric_acid,num_num,linear,pearsonr,0.6606451687652202,r,2.8329984973259146e-141,1119,
fixed_acidity,residual_sugar,num_num,monotonic,spearmanr,0.20547484279384304,rho,3.922936159415894e-12,1119,
fixed_acidity,chlorides,num_num,monotonic,spearmanr,0.24402090091261064,rho,1.2400416588770085e-16,1119,
fixed_acidity,free_sulfur_dioxide,num_num,monotonic,spearmanr,-0.1629065926658372,rho,4.252812202778803e-08,1119,
fixed_acidity,total_sulfur_dioxide,num_num,monotonic,spearmanr,-0.0807669685457159,rho,0.006868154042649033,1119,
fixed_acidity,density,num_num,linear,pearsonr,0.6566362130254186,r,5.214675050465147e-139,1119,
fixed_acidity,ph,num_num,linear,pearsonr,-0.6782131444485223,r,1.2589448500133793e-151,1119,
fixed_acidity,sulphates,num_num,monotonic,spearmanr,0.18819351499849007,rho,2.2229846787606424e-10,1119,
fixed_acidity,alcohol,num_num,linear,pearsonr,-0.04451515929621039,r,0.1367059625561204,1119,
fixed_acidity,quality,num_num,linear,pearsonr,0.09920256591296492,r,0.0008906730862155763,1119,
volatile_acidity,citric_acid,num_num,linear,pearsonr,-0.551098881908769,r,6.823582837254025e-90,1119,
volatile_acidity,residual_sugar,num_num,monotonic,spearmanr,0.028888296923024404,rho,0.3343059071335308,1119,
volatile_acidity,chlorides,num_num,monotonic,spearmanr,0.1785187876283696,rho,1.8166493466083156e-09,1119,
volatile_acidity,free_sulfur_dioxide,num_num,monotonic,spearmanr,0.019686247274894906,rho,0.510627192169439,1119,
volatile_acidity,total_sulfur_dioxide,num_num,monotonic,spearmanr,0.0910258160089172,rho,0.0023046786162550913,1119,
volatile_acidity,density,num_num,linear,pearsonr,0.018236698897313063,r,0.5422507087531481,1119,
volatile_acidity,ph,num_num,linear,pearsonr,0.2215330664982567,r,6.597241700722005e-14,1119,
volatile_acidity,sulphates,num_num,monotonic,spearmanr,-0.34893234658660904,rho,2.1979408805385635e-33,1119,
volatile_acidity,alcohol,num_num,linear,pearsonr,-0.20971018154932347,r,1.3783434566669925e-12,1119,
volatile_acidity,quality,num_num,linear,pearsonr,-0.38378272910041167,r,1.3941258298237375e-40,1119,
citric_acid,residual_sugar,num_num,monotonic,spearmanr,0.18875372856317543,rho,1.9615396773162167e-10,1119,
citric_acid,chlorides,num_num,monotonic,spearmanr,0.12099645893237952,rho,4.951568182297496e-05,1119,
citric_acid,free_sulfur_dioxide,num_num,monotonic,spearmanr,-0.06949624588932417,rho,0.02007389195535497,1119,
citric_acid,total_sulfur_dioxide,num_num,monotonic,spearmanr,0.02630361146996398,rho,0.37936721364015025,1119,
citric_acid,density,num_num,linear,pearsonr,0.36848278166072523,r,2.592775486148168e-37,1119,
citric_acid,ph,num_num,linear,pearsonr,-0.5332297166302464,r,3.2040853868309948e-83,1119,
citric_acid,sulphates,num_num,monotonic,spearmanr,0.32004444145688354,rho,4.553557592005906e-28,1119,
citric_acid,alcohol,num_num,linear,pearsonr,0.1143178135962879,r,0.00012690256262605558,1119,
citric_acid,quality,num_num,linear,pearsonr,0.19697359834961328,r,2.993049398309684e-11,1119,
residual_sugar,chlorides,num_num,monotonic,spearmanr,0.19296878619817276,rho,7.558027310739186e-11,1119,
residual_sugar,free_sulfur_dioxide,num_num,monotonic,spearmanr,0.04613165041917956,rho,0.12300864452648465,1119,
residual_sugar,total_sulfur_dioxide,num_num,monotonic,spearmanr,0.11900277822414876,rho,6.591877269699261e-05,1119,
residual_sugar,density,num_num,monotonic,spearmanr,0.42883377161333497,rho,2.837740254483045e-51,1119,
residual_sugar,ph,num_num,monotonic,spearmanr,-0.0803177282883315,rho,0.007186290339220577,1119,
residual_sugar,sulphates,num_num,monotonic,spearmanr,0.03546454773761513,rho,0.23586415665714755,1119,
residual_sugar,alcohol,num_num,monotonic,spearmanr,0.12929755654570554,rho,1.4340549942128569e-05,1119,
residual_sugar,quality,num_num,monotonic,spearmanr,0.03506309167754141,rho,0.24121272088019324,1119,
chlorides,free_sulfur_dioxide,num_num,monotonic,spearmanr,-0.011204751176199443,rho,0.7081007181319284,1119,
chlorides,total_sulfur_dioxide,num_num,monotonic,spearmanr,0.11499246323854805,rho,0.00011565339873406352,1119,
chlorides,density,num_num,monotonic,spearmanr,0.3814094992307682,rho,4.602236940441982e-40,1119,
chlorides,ph,num_num,monotonic,spearmanr,-0.23238736551881162,rho,3.461426662362217e-15,1119,
chlorides,sulphates,num_num,monotonic,spearmanr,-0.03471834058172826,rho,0.2458734054031602,1119,
chlorides,alcohol,num_num,monotonic,spearmanr,-0.2680794369110797,rho,7.162927013475777e-20,1119,
chlorides,quality,num_num,monotonic,spearmanr,-0.20246701397094052,rho,8.133984106287231e-12,1119,
free_sulfur_dioxide,total_sulfur_dioxide,num_num,monotonic,spearmanr,0.7983866988959762,rho,2.520844372544126e-248,1119,
free_sulfur_dioxide,density,num_num,monotonic,spearmanr,-0.03040742257039075,rho,0.3095004694104163,1119,
free_sulfur_dioxide,ph,num_num,monotonic,spearmanr,0.10429957508907188,rho,0.00047475787487575015,1119,
free_sulfur_dioxide,sulphates,num_num,monotonic,spearmanr,0.03624007635026889,rho,0.22577034515848057,1119,
free_sulfur_dioxide,alcohol,num_num,monotonic,spearmanr,-0.10569543241686916,rho,0.00039764901396852016,1119,
free_sulfur_dioxide,quality,num_num,monotonic,spearmanr,-0.06454191543704683,rho,0.030861084980441676,1119,
total_sulfur_dioxide,density,num_num,monotonic,spearmanr,0.131778184691075,rho,9.754498853720341e-06,1119,
total_sulfur_dioxide,ph,num_num,monotonic,spearmanr,-0.017518331174761877,rho,0.5582763180119009,1119,
total_sulfur_dioxide,sulphates,num_num,monotonic,spearmanr,-0.017544699066472103,rho,0.5576840516002712,1119,
total_sulfur_dioxide,alcohol,num_num,monotonic,spearmanr,-0.27770378799155676,rho,2.9072377425478828e-21,1119,
total_sulfur_dioxide,quality,num_num,monotonic,spearmanr,-0.20950190442143146,rho,1.4518576298532111e-12,1119,
density,ph,num_num,linear,pearsonr,-0.3290855258208079,r,1.1357654324041924e-29,1119,
density,sulphates,num_num,monotonic,spearmanr,0.14173311341240943,rho,1.936617243491702e-06,1119,
density,alcohol,num_num,linear,pearsonr,-0.47296714474870133,r,1.922305743678709e-63,1119,
density,quality,num_num,linear,pearsonr,-0.18868024966005664,r,1.9940398874243945e-10,1119,
ph,sulphates,num_num,monotonic,spearmanr,-0.05705527767405575,rho,0.056390770303424965,1119,
ph,alcohol,num_num,linear,pearsonr,0.19744741331764817,r,2.678863246059874e-11,1119,
ph,quality,num_num,linear,pearsonr,-0.026849744732810807,r,0.3695476362695645,1119,
sulphates,alcohol,num_num,monotonic,spearmanr,0.24344961498116915,rho,1.4663555854601892e-16,1119,
sulphates,quality,num_num,monotonic,spearmanr,0.3893701392770793,rho,8.057004148447986e-42,1119,
alcohol,quality,num_num,linear,pearsonr,0.4920335659065443,r,2.81070653636397e-69,1119,
