fixed_acidity,fixed_acidity__is_outlier,volatile_acidity,volatile_acidity__is_outlier,citric_acid,citric_acid__is_outlier,residual_sugar,residual_sugar__is_outlier,chlorides,chlorides__is_outlier,free_sulfur_dioxide,free_sulfur_dioxide__is_outlier,total_sulfur_dioxide,total_sulfur_dioxide__is_outlier,density,density__is_outlier,ph,ph__is_outlier,sulphates,sulphates__is_outlier,alcohol,alcohol__is_outlier,quality,quality__is_outlier
8.6,0,0.22,0,0.36,0,1.9,0,0.064,0,53.0,1,77.0,0,0.99604,0,3.47,0,0.87,0,11.0,0,7,0
12.5,1,0.46,0,0.63,0,2.0,0,0.071,0,6.0,0,15.0,0,0.9988,0,2.99,0,0.87,0,10.2,0,5,0
7.2,0,0.54,0,0.27,0,2.6,0,0.084,0,12.0,0,78.0,0,0.9964,0,3.39,0,0.71,0,11.0,0,5,0
6.4,0,0.67,0,0.08,0,2.1,0,0.045,0,19.0,0,48.0,0,0.9949,0,3.49,0,0.49,0,11.4,0,6,0
7.5,0,0.58,0,0.14,0,2.2,0,0.077,0,27.0,0,60.0,0,0.9963,0,3.28,0,0.59,0,9.8,0,5,0
7.8,0,0.58,0,0.13,0,2.1,0,0.102,0,17.0,0,36.0,0,0.9944,0,3.24,0,0.53,0,11.2,0,6,0
6.6,0,0.815,0,0.02,0,2.7,0,0.072,0,17.0,0,34.0,0,0.9955,0,3.58,0,0.89,0,12.3,0,7,0
6.3,0,0.57,0,0.28,0,2.1,0,0.048,0,13.0,0,49.0,0,0.99374,0,3.41,0,0.6,0,12.8,0,5,0
7.2,0,0.695,0,0.13,0,2.0,0,0.076,0,12.0,0,20.0,0,0.99546,0,3.29,0,0.54,0,10.1,0,5,0
9.5,0,0.59,0,0.44,0,2.3,0,0.071,0,21.0,0,68.0,0,0.9992,0,3.46,0,0.63,0,9.5,0,5,0
9.9,0,0.25,0,0.46,0,1.7,0,0.062,0,26.0,0,42.0,0,0.9959,0,3.18,0,0.83,0,10.6,0,6,0
7.1,0,0.43,0,0.17,0,1.8,0,0.082,0,27.0,0,51.0,0,0.99634,0,3.49,0,0.64,0,10.4,0,5,0
7.2,0,0.56,0,0.26,0,2.0,0,0.083,0,13.0,0,100.0,0,0.99586,0,3.26,0,0.52,0,9.9,0,5,0
7.6,0,0.49,0,0.33,0,1.9,0,0.074,0,27.0,0,85.0,0,0.99706,0,3.41,0,0.58,0,9.0,0,5,0
6.7,0,0.16,0,0.64,0,2.1,0,0.059,0,24.0,0,52.0,0,0.99494,0,3.34,0,0.71,0,11.2,0,6,0
10.6,0,1.025,1,0.43,0,2.8,0,0.08,0,21.0,0,84.0,0,0.9985,0,3.06,0,0.57,0,10.1,0,5,0
15.0,1,0.21,0,0.44,0,2.2,0,0.075,0,10.0,0,24.0,0,1.00005,0,3.07,0,0.84,0,9.2,0,7,0
7.3,0,0.74,0,0.08,0,1.7,0,0.094,0,10.0,0,45.0,0,0.99576,0,3.24,0,0.5,0,9.8,0,5,0
7.7,0,0.835,0,0.0,0,2.6,0,0.081,0,6.0,0,14.0,0,0.9975,0,3.3,0,0.52,0,9.3,0,5,0
9.0,0,0.47,0,0.31,0,2.7,0,0.084,0,24.0,0,125.0,0,0.9984,0,3.31,0,0.61,0,9.4,0,5,0
7.2,0,0.62,0,0.06,0,2.7,0,0.077,0,15.0,0,85.0,0,0.99746,0,3.51,0,0.54,0,9.5,0,5,0
7.6,0,0.36,0,0.31,0,1.7,0,0.079,0,26.0,0,65.0,0,0.99716,0,3.46,0,0.62,0,9.5,0,6,0
9.0,0,0.46,0,0.31,0,2.8,0,0.093,0,19.0,0,98.0,0,0.99815,0,3.32,0,0.63,0,9.5,0,6,0
12.3,0,0.39,0,0.63,0,2.3,0,0.091,0,6.0,0,18.0,0,1.0004,0,3.16,0,0.49,0,9.5,0,5,0
6.4,0,0.79,0,0.04,0,2.2,0,0.061,0,11.0,0,17.0,0,0.99588,0,3.53,0,0.65,0,10.4,0,6,0
7.6,0,0.54,0,0.13,0,2.5,0,0.097,0,24.0,0,66.0,0,0.99785,0,3.39,0,0.61,0,9.4,0,5,0
10.3,0,0.43,0,0.44,0,2.4,0,0.214,1,5.0,0,12.0,0,0.9994,0,3.19,0,0.63,0,9.5,0,6,0
