var1,var2,type,relationship,test,effect,effect_name,p_value,n,notes,adjusted_p,significant
fixed_acidity,volatile_acidity,num_num,monotonic,spearmanr,-0.0381643265380976,rho,0.0254510476230181,3428,,0.03293664986508225,True
fixed_acidity,citric_acid,num_num,monotonic,spearmanr,0.3129237359020094,rho,9.368106361981412e-79,3428,,3.6370295287692544e-78,True
fixed_acidity,residual_sugar,num_num,monotonic,spearmanr,0.1004550350199172,rho,3.7621851549743916e-09,3428,,6.7109248710354e-09,True
fixed_acidity,chlorides,num_num,monotonic,spearmanr,0.0880603559247081,rho,2.417139807989215e-07,3428,,3.798362555411624e-07,True
fixed_acidity,free_sulfur_dioxide,num_num,linear,pearsonr,-0.052451824975683,r,0.0021262752030705,3428,,0.00286396251842149,True
fixed_acidity,total_sulfur_dioxide,num_num,linear,pearsonr,0.0888213111018628,r,1.9005482763431158e-07,3428,,3.0594191765523326e-07,True
fixed_acidity,density,num_num,monotonic,spearmanr,0.2654643929285079,rho,2.202928586389931e-56,3428,,8.0774048167630795e-56,True
fixed_acidity,ph,num_num,linear,pearsonr,-0.4267276500704631,r,9.171669456218536e-152,3428,,6.0533018411042334e-151,True
fixed_acidity,sulphates,num_num,linear,pearsonr,-0.0082883410896465,r,0.6276008263011326,3428,,0.6680912021915283,False
fixed_acidity,alcohol,num_num,linear,pearsonr,-0.1150306097263555,r,1.4291608134136813e-11,3428,,2.9476441776657175e-11,True
fixed_acidity,quality,num_num,linear,pearsonr,-0.1200912061896471,r,1.7358044258492017e-12,3428,,3.818769736868244e-12,True
volatile_acidity,citric_acid,num_num,monotonic,spearmanr,-0.1302281421971309,rho,1.9394510562409215e-14,3428,,4.7408803597000307e-14,True
volatile_acidity,residual_sugar,num_num,monotonic,spearmanr,0.1010422561659307,rho,3.048653895598194e-09,3428,,5.589198808596689e-09,True
volatile_acidity,chlorides,num_num,monotonic,spearmanr,-0.0041662529538963,rho,0.8073527576233412,3428,,0.8073527576233412,False
volatile_acidity,free_sulfur_dioxide,num_num,monotonic,spearmanr,-0.0866037945674156,rho,3.808866000976682e-07,3428,,5.846166420103745e-07,True
volatile_acidity,total_sulfur_dioxide,num_num,monotonic,spearmanr,0.1163153564257347,rho,8.439814579613047e-12,3428,,1.796863749207939e-11,True
volatile_acidity,density,num_num,monotonic,spearmanr,0.0153907065481922,rho,0.3676749347523012,3428,,0.4044424282275313,False
volatile_acidity,ph,num_num,monotonic,spearmanr,-0.0336857396596385,rho,0.0485969450380378,3428,,0.060516950424726317,False
volatile_acidity,sulphates,num_num,monotonic,spearmanr,-0.0282441998845389,rho,0.0982495021073538,3428,,0.11789940252882455,False
volatile_acidity,alcohol,num_num,monotonic,spearmanr,0.0302776042565924,rho,0.0763137436736436,3428,,0.09327235337889773,False
volatile_acidity,quality,num_num,monotonic,spearmanr,-0.2070194176662352,rho,1.6943136206710304e-34,3428,,5.324985664966095e-34,True
citric_acid,residual_sugar,num_num,monotonic,spearmanr,0.0273159715479236,rho,0.1098114263351659,3428,,0.12942060960930266,False
citric_acid,chlorides,num_num,monotonic,spearmanr,0.0351696135969531,rho,0.0394907842104725,3428,,0.05012291842098433,False
citric_acid,free_sulfur_dioxide,num_num,monotonic,spearmanr,0.0854841177883758,rho,5.376320830945041e-07,3428,,7.885270552052727e-07,True
citric_acid,total_sulfur_dioxide,num_num,monotonic,spearmanr,0.103356780257961,rho,1.315503038457159e-09,3428,,2.480662872519214e-09,True
citric_acid,density,num_num,monotonic,spearmanr,0.0929670556951951,rho,4.953625202601413e-08,3428,,8.603664825570876e-08,True
citric_acid,ph,num_num,monotonic,spearmanr,-0.1425819773846239,rho,4.949337505609529e-17,3428,,1.2563702898854956e-16,True
citric_acid,sulphates,num_num,monotonic,spearmanr,0.086018649828976,rho,4.563037558240876e-07,3428,,6.844556337361314e-07,True
citric_acid,alcohol,num_num,monotonic,spearmanr,-0.0226715268733965,rho,0.1844807307784225,3428,,0.20636827510806585,False
citric_acid,quality,num_num,monotonic,spearmanr,0.0071230358606521,rho,0.6767510389073832,3428,,0.7089772788553538,False
residual_sugar,chlorides,num_num,monotonic,spearmanr,0.2330762349089051,rho,1.6259078483088591e-43,3428,,5.365495899419235e-43,True
residual_sugar,free_sulfur_dioxide,num_num,monotonic,spearmanr,0.3503664765925343,rho,1.4248900604355206e-99,3428,,7.234057229903412e-99,True
residual_sugar,total_sulfur_dioxide,num_num,monotonic,spearmanr,0.4257717054927165,rho,5.061777859229144e-151,3428,,3.037066715537486e-150,True
residual_sugar,density,num_num,monotonic,spearmanr,0.7778921948640992,rho,0.0,3428,,0.0,True
residual_sugar,ph,num_num,monotonic,spearmanr,-0.1753079455997017,rho,4.618393446630029e-25,3428,,1.3855180339890088e-24,True
residual_sugar,sulphates,num_num,monotonic,spearmanr,-0.0133565812795275,rho,0.4343522198695769,3428,,0.46995486084249305,False
residual_sugar,alcohol,num_num,monotonic,spearmanr,-0.4417829030089043,rho,9.078888549295159e-164,3428,,7.490083053168507e-163,True
residual_sugar,quality,num_num,monotonic,spearmanr,-0.0849494367267646,rho,6.328711722250888e-07,3428,,9.080325514533882e-07,True
chlorides,free_sulfur_dioxide,num_num,monotonic,spearmanr,0.1708153304437294,rho,7.381000920748765e-24,3428,,2.1180263511713847e-23,True
chlorides,total_sulfur_dioxide,num_num,monotonic,spearmanr,0.3697756538778343,rho,1.518843025135596e-111,3428,,8.353636638245778e-111,True
chlorides,density,num_num,monotonic,spearmanr,0.5083801294077132,rho,9.509959466714732e-225,3428,,1.0460955413386204e-223,True
chlorides,ph,num_num,monotonic,spearmanr,-0.0537801338033978,rho,0.0016332021502093,3428,,0.0022456529565377872,True
chlorides,sulphates,num_num,monotonic,spearmanr,0.0918343350762554,rho,7.19454394867309e-08,3428,,1.18709975153106e-07,True
chlorides,alcohol,num_num,monotonic,spearmanr,-0.5678868590812163,rho,5.4022584158774895e-292,3428,,8.913726386197858e-291,True
chlorides,quality,num_num,monotonic,spearmanr,-0.3148611340044098,rho,9.231027338928412e-80,3428,,3.8077987773079703e-79,True
free_sulfur_dioxide,total_sulfur_dioxide,num_num,linear,pearsonr,0.6118955889221536,r,0.0,3428,,0.0,True
