var1,var2,type,relationship,test,effect,effect_name,p_value,n,notes,adjusted_p,significant
fixed_acidity,citric_acid,num_num,monotonic,spearmanr,0.3129237359020094,rho,9.368106361981412e-79,3428,,3.6370295287692544e-78,True
fixed_acidity,density,num_num,monotonic,spearmanr,0.2654643929285079,rho,2.202928586389931e-56,3428,,8.0774048167630795e-56,True
fixed_acidity,ph,num_num,linear,pearsonr,-0.4267276500704631,r,9.171669456218536e-152,3428,,6.0533018411042334e-151,True
volatile_acidity,quality,num_num,monotonic,spearmanr,-0.2070194176662352,rho,1.6943136206710304e-34,3428,,5.324985664966095e-34,True
residual_sugar,chlorides,num_num,monotonic,spearmanr,0.2330762349089051,rho,1.6259078483088591e-43,3428,,5.365495899419235e-43,True
residual_sugar,free_sulfur_dioxide,num_num,monotonic,spearmanr,0.3503664765925343,rho,1.4248900604355206e-99,3428,,7.234057229903412e-99,True
residual_sugar,total_sulfur_dioxide,num_num,monotonic,spearmanr,0.4257717054927165,rho,5.061777859229144e-151,3428,,3.037066715537486e-150,True
residual_sugar,density,num_num,monotonic,spearmanr,0.7778921948640992,rho,0.0,3428,,0.0,True
residual_sugar,ph,num_num,monotonic,spearmanr,-0.1753079455997017,rho,4.618393446630029e-25,3428,,1.3855180339890088e-24,True
residual_sugar,alcohol,num_num,monotonic,spearmanr,-0.4417829030089043,rho,9.078888549295159e-164,3428,,7.490083053168507e-163,True
chlorides,free_sulfur_dioxide,num_num,monotonic,spearmanr,0.1708153304437294,rho,7.381000920748765e-24,3428,,2.1180263511713847e-23,True
chlorides,total_sulfur_dioxide,num_num,monotonic,spearmanr,0.3697756538778343,rho,1.518843025135596e-111,3428,,8.353636638245778e-111,True
chlorides,density,num_num,monotonic,spearmanr,0.5083801294077132,rho,9.509959466714732e-225,3428,,1.0460955413386204e-223,True
chlorides,alcohol,num_num,monotonic,spearmanr,-0.5678868590812163,rho,5.4022584158774895e-292,3428,,8.913726386197858e-291,True
chlorides,quality,num_num,monotonic,spearmanr,-0.3148611340044098,rho,9.231027338928412e-80,3428,,3.8077987773079703e-79,True
free_sulfur_dioxide,total_sulfur_dioxide,num_num,linear,pearsonr,0.6118955889221536,r,0.0,3428,,0.0,True
free_sulfur_dioxide,density,num_num,monotonic,spearmanr,0.3348829366946982,rho,1.309851707101754e-90,3428,,5.763347511247719e-90,True
free_sulfur_dioxide,alcohol,num_num,linear,pearsonr,-0.257116553963871,r,6.919082487412812e-53,3428,,2.4034707587855033e-52,True
total_sulfur_dioxide,density,num_num,monotonic,spearmanr,0.5642449678760572,rho,1.7745630004832025e-287,3428,,2.3424231606378273e-286,True
total_sulfur_dioxide,alcohol,num_num,linear,pearsonr,-0.4509885192754688,r,2.056974541595589e-171,3428,,1.9394331392186983e-170,True
total_sulfur_dioxide,quality,num_num,linear,pearsonr,-0.1622113188051226,r,1.2095451762141869e-21,3428,,3.326249234589014e-21,True
density,alcohol,num_num,monotonic,spearmanr,-0.8199793849342094,rho,0.0,3428,,0.0,True
density,quality,num_num,monotonic,spearmanr,-0.3495208407896786,rho,4.534976088497823e-99,3428,,2.1379172988632594e-98,True
ph,sulphates,num_num,linear,pearsonr,0.1576575251701295,r,1.6099709415550576e-20,3428,,4.2503232857053524e-20,True
alcohol,quality,num_num,linear,pearsonr,0.4335284827179385,r,4.121317346151287e-157,3428,,3.0222993871776103e-156,True
