var1,var2,type,relationship,test,effect,effect_name,p_value,n,notes
fixed_acidity,volatile_acidity,num_num,monotonic,spearmanr,-0.038164326538097676,rho,0.025451047623018107,3428,
fixed_acidity,citric_acid,num_num,monotonic,spearmanr,0.3129237359020094,rho,9.368106361981413e-79,3428,
fixed_acidity,residual_sugar,num_num,monotonic,spearmanr,0.10045503501991727,rho,3.7621851549743916e-09,3428,
fixed_acidity,chlorides,num_num,monotonic,spearmanr,0.08806035592470812,rho,2.4171398079892147e-07,3428,
fixed_acidity,free_sulfur_dioxide,num_num,linear,pearsonr,-0.05245182497568303,r,0.0021262752030705256,3428,
fixed_acidity,total_sulfur_dioxide,num_num,linear,pearsonr,0.08882131110186282,r,1.9005482763431155e-07,3428,
fixed_acidity,density,num_num,monotonic,spearmanr,0.26546439292850793,rho,2.202928586389931e-56,3428,
fixed_acidity,ph,num_num,linear,pearsonr,-0.4267276500704631,r,9.171669456218537e-152,3428,
fixed_acidity,sulphates,num_num,linear,pearsonr,-0.008288341089646593,r,0.6276008263011326,3428,
fixed_acidity,alcohol,num_num,linear,pearsonr,-0.1150306097263555,r,1.4291608134136811e-11,3428,
fixed_acidity,quality,num_num,linear,pearsonr,-0.12009120618964714,r,1.7358044258492015e-12,3428,
volatile_acidity,citric_acid,num_num,monotonic,spearmanr,-0.13022814219713094,rho,1.9394510562409218e-14,3428,
volatile_acidity,residual_sugar,num_num,monotonic,spearmanr,0.1010422561659307,rho,3.048653895598194e-09,3428,
volatile_acidity,chlorides,num_num,monotonic,spearmanr,-0.004166252953896377,rho,0.8073527576233412,3428,
volatile_acidity,free_sulfur_dioxide,num_num,monotonic,spearmanr,-0.0866037945674156,rho,3.8088660009766816e-07,3428,
volatile_acidity,total_sulfur_dioxide,num_num,monotonic,spearmanr,0.11631535642573476,rho,8.439814579613047e-12,3428,
volatile_acidity,density,num_num,monotonic,spearmanr,0.015390706548192233,rho,0.3676749347523012,3428,
volatile_acidity,ph,num_num,monotonic,spearmanr,-0.03368573965963857,rho,0.0485969450380378,3428,
volatile_acidity,sulphates,num_num,monotonic,spearmanr,-0.028244199884538926,rho,0.09824950210735386,3428,
volatile_acidity,alcohol,num_num,monotonic,spearmanr,0.03027760425659249,rho,0.07631374367364364,3428,
volatile_acidity,quality,num_num,monotonic,spearmanr,-0.2070194176662352,rho,1.6943136206710304e-34,3428,
citric_acid,residual_sugar,num_num,monotonic,spearmanr,0.027315971547923652,rho,0.10981142633516597,3428,
citric_acid,chlorides,num_num,monotonic,spearmanr,0.035169613596953184,rho,0.03949078421047254,3428,
citric_acid,free_sulfur_dioxide,num_num,monotonic,spearmanr,0.08548411778837581,rho,5.376320830945041e-07,3428,
