fixed_acidity,fixed_acidity__is_outlier,volatile_acidity,volatile_acidity__is_outlier,citric_acid,citric_acid__is_outlier,residual_sugar,residual_sugar__is_outlier,chlorides,chlorides__is_outlier,free_sulfur_dioxide,free_sulfur_dioxide__is_outlier,total_sulfur_dioxide,total_sulfur_dioxide__is_outlier,density,density__is_outlier,ph,ph__is_outlier,sulphates,sulphates__is_outlier,alcohol,alcohol__is_outlier,quality,quality__is_outlier
6.6,0,0.25,0,0.3,0,14.4,0,0.052,0,40.0,0,183.0,0,0.998,0,3.02,0,0.5,0,9.1,0,6,0
7.8,0,0.26,0,0.49,0,3.2,0,0.027,0,28.0,0,87.0,0,0.9919,0,3.03,0,0.32,0,11.3,0,7,0
6.3,0,0.23,0,0.33,0,1.5,0,0.036,0,15.0,0,105.0,0,0.991,0,3.32,0,0.42,0,11.2,0,6,0
6.0,0,0.26,0,0.18,0,7.0,0,0.055,0,50.0,0,194.0,0,0.99591,0,3.21,0,0.43,0,9.0,0,5,0
7.9,0,0.37,0,0.31,0,2.85,0,0.037,0,5.0,0,24.0,0,0.9911,0,3.19,0,0.36,0,11.9,0,6,0
6.2,0,0.33,0,0.14,0,4.8,0,0.052,0,27.0,0,128.0,0,0.99475,0,3.21,0,0.48,0,9.4,0,5,0
6.3,0,0.41,0,0.22,0,7.3,0,0.035,0,23.0,0,117.0,0,0.99172,0,3.2,0,0.39,0,11.94,0,7,0
8.3,0,0.22,0,0.38,0,14.8,0,0.054,0,32.0,0,126.0,0,1.0002,0,3.22,0,0.5,0,9.7,0,5,0
7.4,0,0.24,0,0.26,0,1.6,0,0.058,0,53.0,0,150.0,0,0.9936,0,3.18,0,0.5,0,9.9,0,7,0
6.5,0,0.27,0,0.19,0,6.6,0,0.045,0,98.0,1,175.0,0,0.99364,0,3.16,0,0.34,0,10.1,0,6,0
6.9,0,0.21,0,0.33,0,1.4,0,0.056,0,35.0,0,136.0,0,0.9938,0,3.63,1,0.78,1,10.3,0,6,0
7.0,0,0.19,0,0.23,0,5.7,0,0.123,1,27.0,0,104.0,0,0.9954,0,3.04,0,0.54,0,9.4,0,6,0
6.8,0,0.11,0,0.27,0,8.6,0,0.044,0,45.0,0,104.0,0,0.99454,0,3.2,0,0.37,0,9.9,0,6,0
6.4,0,0.27,0,0.45,0,8.3,0,0.05,0,52.0,0,196.0,0,0.9955,0,3.18,0,0.48,0,9.5,0,5,0
6.4,0,0.23,0,0.35,0,4.6,0,0.039,0,43.0,0,147.0,0,0.99216,0,3.18,0,0.4,0,11.0,0,7,0
5.7,0,0.335,0,0.34,0,1.0,0,0.04,0,13.0,0,174.0,0,0.992,0,3.27,0,0.66,0,10.0,0,5,0
5.6,0,0.18,0,0.29,0,2.3,0,0.04,0,5.0,0,47.0,0,0.99126,0,3.07,0,0.45,0,10.1,0,4,0
6.5,0,0.26,0,0.31,0,1.3,0,0.034,0,59.0,0,145.0,0,0.98944,0,3.16,0,0.54,0,12.4,0,6,0
6.6,0,0.5,0,0.26,0,11.3,0,0.029,0,32.0,0,110.0,0,0.99302,0,3.27,0,0.78,1,12.9,0,8,1
6.5,0,0.32,0,0.23,0,1.2,0,0.054,0,39.0,0,208.0,0,0.99272,0,3.18,0,0.46,0,9.9,0,6,0
7.7,0,0.43,0,1.0,1,19.95,0,0.032,0,42.0,0,164.0,0,0.99742,0,3.29,0,0.5,0,12.0,0,6,0
5.3,0,0.3,0,0.16,0,4.2,0,0.029,0,37.0,0,100.0,0,0.9905,0,3.3,0,0.36,0,11.8,0,8,1
6.7,0,0.16,0,0.32,0,12.5,0,0.035,0,18.0,0,156.0,0,0.99666,0,2.88,0,0.36,0,9.0,0,6,0
6.8,0,0.36,0,0.32,0,1.6,0,0.039,0,10.0,0,124.0,0,0.9948,0,3.3,0,0.67,0,9.6,0,5,0
6.7,0,0.39,0,0.31,0,2.7,0,0.054,0,27.0,0,202.0,0,0.9948,0,3.46,0,0.57,0,10.5,0,6,0
7.5,0,0.29,0,0.67,1,8.1,0,0.037,0,53.0,0,166.0,0,0.9966,0,2.9,0,0.41,0,8.9,0,6,0
6.8,0,0.19,0,0.32,0,7.05,0,0.019,0,54.0,0,188.0,0,0.9935,0,3.25,0,0.37,0,11.1,0,8,1
7.3,0,0.17,0,0.24,0,8.1,0,0.121,1,32.0,0,162.0,0,0.99508,0,3.17,0,0.38,0,10.4,0,8,1
6.4,0,0.31,0,0.31,0,12.9,0,0.045,0,55.0,0,161.0,0,0.99546,0,3.02,0,0.59,0,10.2,0,5,0
5.8,0,0.27,0,0.22,0,12.7,0,0.058,0,42.0,0,206.0,0,0.9946,0,3.32,0,0.38,0,12.3,0,6,0
5.9,0,0.26,0,0.24,0,2.4,0,0.046,0,27.0,0,132.0,0,0.99234,0,3.63,1,0.73,0,11.3,0,5,0
7.5,0,0.23,0,0.29,0,2.6,0,0.031,0,24.0,0,98.0,0,0.99194,0,3.0,0,0.54,0,10.9,0,6,0
7.8,0,0.28,0,0.22,0,1.4,0,0.056,0,24.0,0,130.0,0,0.9944,0,3.28,0,0.48,0,9.5,0,5,0
6.1,0,0.24,0,0.26,0,1.7,0,0.033,0,61.0,0,134.0,0,0.9903,0,3.19,0,0.81,1,11.9,0,7,0
5.7,0,0.22,0,0.22,0,16.65,0,0.044,0,39.0,0,110.0,0,0.99855,0,3.24,0,0.48,0,9.0,0,6,0
7.6,0,0.16,0,0.44,0,1.4,0,0.043,0,25.0,0,109.0,0,0.9932,0,3.11,0,0.75,0,10.3,0,6,0
6.4,0,0.23,0,0.35,0,4.6,0,0.039,0,43.0,0,147.0,0,0.99216,0,3.18,0,0.4,0,11.0,0,7,0
7.4,0,0.2,0,0.31,0,1.6,0,0.038,0,34.0,0,116.0,0,0.9912,0,3.25,0,0.39,0,12.0,0,7,0
6.4,0,0.3,0,0.38,0,7.8,0,0.046,0,35.0,0,192.0,0,0.9955,0,3.1,0,0.37,0,9.0,0,5,0
5.8,0,0.33,0,0.2,0,16.05,0,0.047,0,26.0,0,166.0,0,0.9976,0,3.09,0,0.46,0,8.9,0,5,0
5.7,0,0.46,0,0.46,0,1.4,0,0.04,0,31.0,0,169.0,0,0.9932,0,3.13,0,0.47,0,8.8,0,5,0
8.0,0,0.18,0,0.49,0,1.8,0,0.061,0,10.0,0,145.0,0,0.9942,0,3.23,0,0.48,0,10.0,0,5,0
6.8,0,0.33,0,0.31,0,7.4,0,0.045,0,34.0,0,143.0,0,0.99226,0,3.06,0,0.55,0,12.2,0,6,0
6.1,0,0.18,0,0.36,0,2.0,0,0.038,0,20.0,0,249.5,0,0.9923,0,3.37,0,0.79,1,11.3,0,6,0
5.7,0,0.26,0,0.27,0,4.1,0,0.201,1,73.5,0,189.5,0,0.9942,0,3.27,0,0.38,0,9.4,0,6,0
6.9,0,0.32,0,0.26,0,8.3,0,0.053,0,32.0,0,180.0,0,0.9965,0,3.25,0,0.51,0,9.2,0,6,0
7.4,0,0.33,0,0.26,0,15.6,0,0.049,0,67.0,0,210.0,0,0.99907,0,3.06,0,0.68,0,9.5,0,5,0
6.5,0,0.52,1,0.17,0,1.4,0,0.047,0,5.0,0,26.0,0,0.9932,0,3.26,0,0.32,0,10.0,0,4,0
6.6,0,0.38,0,0.15,0,4.6,0,0.044,0,25.0,0,78.0,0,0.9931,0,3.11,0,0.38,0,10.2,0,6,0
5.8,0,0.26,0,0.3,0,2.6,0,0.034,0,75.0,0,129.0,0,0.9902,0,3.2,0,0.38,0,11.5,0,4,0
6.6,0,0.22,0,0.53,0,15.1,0,0.052,0,22.0,0,136.0,0,0.9986,0,2.94,0,0.35,0,9.4,0,5,0
7.1,0,0.31,0,0.17,0,1.0,0,0.042,0,21.0,0,144.0,0,0.99304,0,3.13,0,0.4,0,9.6,0,5,0
7.6,0,0.31,0,0.26,0,1.7,0,0.073,1,40.0,0,157.0,0,0.9938,0,3.1,0,0.46,0,9.8,0,5,0
8.4,0,0.31,0,0.31,0,0.95,0,0.021,0,52.0,0,148.0,0,0.99038,0,2.93,0,0.32,0,11.5,0,5,0
6.6,0,0.37,0,0.47,0,6.5,0,0.061,0,23.0,0,150.0,0,0.9954,0,3.14,0,0.45,0,9.6,0,6,0
5.7,0,0.21,0,0.25,0,1.1,0,0.035,0,26.0,0,81.0,0,0.9902,0,3.31,0,0.52,0,11.4,0,6,0
6.6,0,0.32,0,0.27,0,10.9,0,0.041,0,37.0,0,146.0,0,0.9963,0,3.24,0,0.47,0,10.0,0,5,0
8.8,0,0.34,0,0.33,0,9.7,0,0.036,0,46.0,0,172.0,0,0.9966,0,3.08,0,0.4,0,10.2,0,5,0
6.9,0,0.3,0,0.49,0,7.6,0,0.057,0,25.0,0,156.0,0,0.9962,0,3.43,0,0.63,0,11.0,0,7,0
7.3,0,0.24,0,0.39,0,3.6,0,0.024,0,35.0,0,116.0,0,0.9928,0,3.17,0,0.51,0,10.9,0,5,0
7.5,0,0.305,0,0.4,0,18.9,0,0.059,0,44.0,0,170.0,0,1.0,0,2.99,0,0.46,0,9.0,0,5,0
6.0,0,0.22,0,0.25,0,11.1,0,0.056,0,112.0,1,177.0,0,0.9961,0,3.08,0,0.36,0,9.4,0,6,0
6.1,0,0.27,0,0.31,0,3.9,0,0.034,0,42.0,0,137.0,0,0.99218,0,3.24,0,0.46,0,10.9,0,6,0
5.9,0,0.62,1,0.28,0,3.5,0,0.039,0,55.0,0,152.0,0,0.9907,0,3.44,0,0.44,0,12.0,0,6,0
6.0,0,0.2,0,0.26,0,6.8,0,0.049,0,22.0,0,93.0,0,0.9928,0,3.15,0,0.42,0,11.0,0,6,0
5.8,0,0.38,0,0.26,0,1.1,0,0.058,0,20.0,0,140.0,0,0.99271,0,3.27,0,0.43,0,9.7,0,6,0
6.0,0,0.2,0,0.33,0,1.1,0,0.039,0,45.0,0,126.0,0,0.99051,0,3.31,0,0.45,0,11.6,0,7,0
6.1,0,0.27,0,0.33,0,2.2,0,0.021,0,26.0,0,117.0,0,0.9886,0,3.12,0,0.3,0,12.5,0,6,0
6.2,0,0.27,0,0.47,0,1.2,0,0.146,1,28.0,0,105.0,0,0.99224,0,3.23,0,0.51,0,10.1,0,5,0
8.0,0,0.23,0,0.37,0,9.6,0,0.054,0,23.0,0,159.0,0,0.99795,0,3.32,0,0.47,0,9.8,0,4,0
6.6,0,0.085,0,0.33,0,1.4,0,0.036,0,17.0,0,109.0,0,0.99306,0,3.27,0,0.61,0,9.5,0,6,0
6.1,0,0.17,0,0.28,0,2.5,0,0.028,0,22.0,0,98.0,0,0.99072,0,3.16,0,0.37,0,11.1,0,7,0
8.3,0,0.16,0,0.37,0,7.9,0,0.025,0,38.0,0,107.0,0,0.99306,0,2.93,0,0.37,0,11.9,0,6,0
6.9,0,0.21,0,0.49,0,1.4,0,0.041,0,15.0,0,164.0,0,0.9927,0,3.25,0,0.63,0,11.0,0,5,0
7.5,0,0.42,0,0.34,0,4.3,0,0.04,0,34.0,0,108.0,0,0.99155,0,3.14,0,0.45,0,12.8,0,8,1
10.0,1,0.2,0,0.39,0,1.4,0,0.05,0,19.0,0,152.0,0,0.994,0,3.0,0,0.42,0,10.4,0,6,0
6.8,0,0.19,0,0.36,0,1.9,0,0.035,0,30.0,0,96.0,0,0.9917,0,3.15,0,0.54,0,10.8,0,7,0
6.7,0,0.17,0,0.5,0,2.1,0,0.043,0,27.0,0,122.0,0,0.9923,0,3.15,0,0.45,0,10.3,0,6,0
6.9,0,0.24,0,0.39,0,1.3,0,0.063,0,18.0,0,136.0,0,0.9928,0,3.31,0,0.48,0,10.4,0,7,0
7.5,0,0.35,0,0.28,0,9.6,0,0.051,0,26.0,0,157.0,0,0.9969,0,3.12,0,0.53,0,9.2,0,6,0
6.3,0,0.27,0,0.46,0,11.75,0,0.037,0,61.0,0,212.0,0,0.9971,0,3.25,0,0.53,0,9.5,0,6,0
5.8,0,0.35,0,0.29,0,3.2,0,0.034,0,41.0,0,151.0,0,0.9912,0,3.35,0,0.58,0,11.6333333333333,0,7,0
7.0,0,0.29,0,0.33,0,0.9,0,0.041,0,20.0,0,117.0,0,0.99048,0,3.21,0,0.5,0,11.4,0,5,0
7.0,0,0.2,0,0.38,0,8.1,0,0.05,0,42.0,0,173.0,0,0.99585,0,3.3,0,0.54,0,9.8,0,6,0
6.5,0,0.39,0,0.35,0,1.6,0,0.049,0,10.0,0,164.0,0,0.99516,0,3.35,0,0.51,0,9.7,0,5,0
7.3,0,0.145,0,0.33,0,1.1,0,0.042,0,14.0,0,64.0,0,0.99012,0,3.1,0,0.37,0,11.8,0,7,0
7.9,0,0.33,0,0.26,0,1.2,0,0.044,0,23.0,0,103.0,0,0.9932,0,3.19,0,0.54,0,10.5,0,6,0
5.8,0,0.39,0,0.47,0,7.5,0,0.027,0,12.0,0,88.0,0,0.9907,0,3.38,0,0.45,0,14.0,0,6,0
